statute_number,section_title,popular_name,full_text_of_naming_clause,url
2-4401,"Act, how cited.",Nebraska Right to Farm Act,Sections 2-4401 to 2-4404 shall be known and may be cited as the Nebraska Right to Farm Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-4401
2-4601,"Act, how cited.",Erosion and Sediment Control Act,Sections 2-4601 to 2-4613 shall be known and may be cited as the Erosion and Sediment Control Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-4601
2-4801,"Act, how cited.",Farm Mediation Act,Sections 2-4801 to 2-4815 shall be known and may be cited as the Farm Mediation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-4801
2-501,"Act, how cited.",Nebraska Hemp Farming Act,Sections 2-501 to 2-518 shall be known and may be cited as the Nebraska Hemp Farming Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-501
2-5101,"Act, how cited.",Buffer Strip Act,Sections 2-5101 to 2-5111 shall be known and may be cited as the Buffer Strip Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-5101
2-5501,"Act, how cited.",Agricultural Suppliers Lease Protection Act,Sections 2-5501 to 2-5508 shall be known and may be cited as the Agricultural Suppliers Lease Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-5501
2-945.01,"Act, how cited.",Noxious Weed Control Act,01 to 2-970 shall be known and may be cited as the Noxious Weed Control Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=2-945.01
3-154,"Act, how cited.",State Aeronautics Act,Sections 3-101 to 3-164 shall be known and may be cited as the State Aeronautics Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=3-154
3-238,"Act, how cited.",Revised Airports Act,Sections 3-201 to 3-238 and 18-1502 may be cited as the Revised Airports Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=3-238
3-244,"Act, how cited.",Extraterritorial Airports Act,Sections 3-240 to 3-244 may be cited as the Extraterritorial Airports Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=3-244
3-333,"Act, how cited.",Airport Zoning Act,Sections 3-301 to 3-333 shall be known and may be cited as the Airport Zoning Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=3-333
3-514,"Act, how cited.",Cities Airport Authorities Act,Sections 3-501 to 3-514 shall be known and may be cited as the Cities Airport Authorities Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=3-514
3-716,"Act, how cited.",Joint Airport Authorities Act,Sections 3-701 to 3-716 may be cited as the Joint Airport Authorities Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=3-716
4-201,"Act, how cited.",Foreign Adversary and Terrorist Agent Registration Act,Sections 4-201 to 4-213 shall be known and may be cited as the Foreign Adversary and Terrorist Agent Registration Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=4-201
7-201,"Act, how cited.",Legal Education for Public Service and Rural Practice Loan Repayment Assistance Act,Sections 7-201 to 7-210 shall be known and may be cited as the Legal Education for Public Service and Rural Practice Loan Repayment Assistance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=7-201
8-101.02,"Act, how cited.",Nebraska Banking Act,"02 to 8-1,143 shall be known and may be cited as the Nebraska Banking Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=8-101.02
8-1123,"Act, how cited.",Securities Act of Nebraska,Sections 8-1101 to 8-1123 shall be known and may be cited as the Securities Act of Nebraska.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-1123
8-1701,"Code, how cited.",Commodity Code,Sections 8-1701 to 8-1737 shall be known and may be cited as the Commodity Code.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-1701
8-201.01,"Act, how cited.",Nebraska Trust Company Act,Sections 8-201 to 8-235 shall be known and may be cited as the Nebraska Trust Company Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-201.01
8-2101,"Act, how cited.",Interstate Branching and Merger Act,Sections 8-2101 to 8-2108 shall be known and may be cited as the Interstate Branching and Merger Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-2101
8-2301,"Act, how cited.",Interstate Trust Company Office Act,Sections 8-2301 to 8-2313 shall be known and may be cited as the Interstate Trust Company Office Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-2301
8-2601,"Act, how cited.",Credit Report Protection Act,Sections 8-2601 to 8-2615 shall be known and may be cited as the Credit Report Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-2601
8-2701,"Act, how cited.",Nebraska Money Transmitters Act,Sections 8-2701 to 8-2742 shall be known and may be cited as the Nebraska Money Transmitters Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-2701
8-2904,"Act, how cited.",Nebraska Protection of Vulnerable Adults from Financial Exploitation Act,Sections 8-2904 to 8-2909 shall be known and may be cited as the Nebraska Protection of Vulnerable Adults from Financial Exploitation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-2904
8-3001,"Nebraska Financial Innovation Act, how cited.",Nebraska Financial Innovation Act,Sections 8-3001 to 8-3031 shall be known and may be cited as the Nebraska Financial Innovation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-3001
8-3032,"Controllable Electronic Record Fraud Prevention Act, how cited.",Controllable Electronic Record Fraud Prevention Act,Sections 8-3032 to 8-3042 shall be known and may be cited as the Controllable Electronic Record Fraud Prevention Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-3032
8-3101,"Act, how cited.",LIBOR Transition Act,Sections 8-3101 to 8-3104 shall be known and may be cited as the LIBOR Transition Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-3101
8-3201,"Act, how cited.",Uniform Special Deposits Act,Sections 8-3201 to 8-3216 shall be known and may be cited as the Uniform Special Deposits Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-3201
8-908,"Act, how cited.",Nebraska Bank Holding Company Act of 1995,Sections 8-908 to 8-918 shall be known and may be cited as the Nebraska Bank Holding Company Act of 1995.,https://nebraskalegislature.gov/laws/statutes.php?statute=8-908
9-1101,"Act, how cited.",Nebraska Racetrack Gaming Act,Sections 9-1101 to 9-1118 and 9-1201 to 9-1209 shall be known and may be cited as the Nebraska Racetrack Gaming Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-1101
9-1301,"Act, how cited.",Gambling Winnings Setoff for Outstanding Debt Act,Sections 9-1301 to 9-1313 shall be known and may be cited as the Gambling Winnings Setoff for Outstanding Debt Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-1301
9-201,"Act, how cited.",Nebraska Bingo Act,Sections 9-201 to 9-266 shall be known and may be cited as the Nebraska Bingo Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-201
9-301,"Act, how cited.",Nebraska Pickle Card Lottery Act,Sections 9-301 to 9-356 shall be known and may be cited as the Nebraska Pickle Card Lottery Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-301
9-401,"Act, how cited.",Nebraska Lottery and Raffle Act,Sections 9-401 to 9-437 shall be known and may be cited as the Nebraska Lottery and Raffle Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-401
9-501,"Act, how cited.",Nebraska Small Lottery and Raffle Act,Sections 9-501 to 9-513 shall be known and may be cited as the Nebraska Small Lottery and Raffle Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-501
9-601,"Act, how cited.",Nebraska County and City Lottery Act,Sections 9-601 to 9-653 shall be known and may be cited as the Nebraska County and City Lottery Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-601
9-801,"Act, how cited.",State Lottery Act,Sections 9-801 to 9-841 shall be known and may be cited as the State Lottery Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=9-801
10-1101,"Act, how cited.",Nebraska Governmental Unit Security Interest Act,Sections 10-1101 to 10-1106 shall be known and may be cited as the Nebraska Governmental Unit Security Interest Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=10-1101
10-1201,"Act, how cited.",Nebraska Governmental Unit Credit Facility Act,Sections 10-1201 to 10-1206 shall be known and may be cited as the Nebraska Governmental Unit Credit Facility Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=10-1201
12-1101,"Act, how cited.",Burial Pre-Need Sale Act,Sections 12-1101 to 12-1121 shall be known and may be cited as the Burial Pre-Need Sale Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=12-1101
12-1201,"Act, how cited.",Unmarked Human Burial Sites and Skeletal Remains Protection Act,Sections 12-1201 to 12-1212 shall be known and may be cited as the Unmarked Human Burial Sites and Skeletal Remains Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=12-1201
13-1201,"Act, how cited.",Nebraska Public Transportation Act,Sections 13-1201 to 13-1214 shall be known and may be cited as the Nebraska Public Transportation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-1201
13-1501,"Act, how cited.",State-Tribal Cooperative Agreements Act,Sections 13-1501 to 13-1509 shall be known and may be cited as the State-Tribal Cooperative Agreements Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-1501
13-1601,"Act, how cited.",Political Subdivisions Self-Funding Benefits Act,Sections 13-1601 to 13-1626 shall be known and may be cited as the Political Subdivisions Self-Funding Benefits Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-1601
13-2001,"Act, how cited.",Integrated Solid Waste Management Act,Sections 13-2001 to 13-2043 shall be known and may be cited as the Integrated Solid Waste Management Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2001
13-2101.01,"Act, how cited.",Enterprise Zone Act,Sections 13-2101 to 13-2112 shall be known and may be cited as the Enterprise Zone Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2101.01
13-2201,"Act, how cited.",Local Government Miscellaneous Expenditure Act,Sections 13-2201 to 13-2204 shall be known and may be cited as the Local Government Miscellaneous Expenditure Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2201
13-2501,"Act, how cited.",Joint Public Agency Act,Sections 13-2501 to 13-2550 shall be known and may be cited as the Joint Public Agency Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2501
13-2601,"Act, how cited.",Convention Center Facility Financing Assistance Act,Sections 13-2601 to 13-2613 shall be known and may be cited as the Convention Center Facility Financing Assistance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2601
13-2701,"Act, how cited.",Civic and Community Center Financing Act,Sections 13-2701 to 13-2710 shall be known and may be cited as the Civic and Community Center Financing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2701
13-2901,"Act, how cited.",Political Subdivisions Construction Alternatives Act,Sections 13-2901 to 13-2914 shall be known and may be cited as the Political Subdivisions Construction Alternatives Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-2901
13-3101,"Act, how cited.",Sports Arena Facility Financing Assistance Act,Sections 13-3101 to 13-3110 shall be known and may be cited as the Sports Arena Facility Financing Assistance Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-3101
13-3201,"Act, how cited.",Property Assessed Clean Energy Act,Sections 13-3201 to 13-3211 shall be known and may be cited as the Property Assessed Clean Energy Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-3201
13-3301,"Act, how cited.",Municipal Inland Port Authority Act,Sections 13-3301 to 13-3316 shall be known and may be cited as the Municipal Inland Port Authority Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-3301
13-3401,"Act, how cited.",Property Tax Growth Limitation Act,Sections 13-3401 to 13-3408 shall be known and may be cited as the Property Tax Growth Limitation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-3401
13-501,"Act, how cited.",Nebraska Budget Act,Sections 13-501 to 13-513 shall be known and may be cited as the Nebraska Budget Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-501
13-701,"Act, how cited.",Nebraska Emergency Seat of Local Government Act,Sections 13-701 to 13-706 shall be known and may be cited as the Nebraska Emergency Seat of Local Government Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-701
13-801,"Act, how cited.",Interlocal Cooperation Act,Sections 13-801 to 13-827 shall be known and may be cited as the Interlocal Cooperation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-801
13-901,"Act, how cited.",Political Subdivisions Tort Claims Act,Sections 13-901 to 13-928 shall be known and may be cited as the Political Subdivisions Tort Claims Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=13-901
14-1701,"Act, how cited.",Parking Authority Law,Sections 14-1701 to 14-1725 shall be known and may be cited as the Parking Authority Law.,https://nebraskalegislature.gov/laws/statutes.php?statute=14-1701
14-1826,"Act, how cited.",Transit Authority Law,Sections 14-1801 to 14-1826 shall be known and may be cited as the Transit Authority Law.,https://nebraskalegislature.gov/laws/statutes.php?statute=14-1826
15-1102,Comprehensive plan; requirements; contents.,comprehensive plan,(1) The general plan for the improvement and development of a city of the primary class shall be known as the comprehensive plan.,https://nebraskalegislature.gov/laws/statutes.php?statute=15-1102
15-235.05,"Act, how cited.",Hospital Sinking Fund Act,05 may be cited as the Hospital Sinking Fund Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=15-235.05
16-1001,"Police Officers Retirement Act, how cited; applicability.",Police Officers Retirement Act,Sections 16-1001 to 16-1019 shall be known and may be cited as the Police Officers Retirement Act and shall apply to all police officers of a city of the first class.,https://nebraskalegislature.gov/laws/statutes.php?statute=16-1001
16-1020,"Cities of the First Class Firefighters Retirement Act, how cited; applicability.",Cities of the First Class Firefighters Retirement Act,(1) Sections 16-1020 to 16-1042 shall be known and may be cited as the Cities of the First Class Firefighters Retirement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=16-1020
16-1101,"Act, how cited.",First-Class City Merger Act,Sections 16-1101 to 16-1115 shall be known and may be cited as the First-Class City Merger Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=16-1101
16-672.11,Bonds; maturity; interest; rate; contractor; interest; warrants; tax levy.,storm water sewer tax,"Such tax shall be known as the storm water sewer tax, shall be payable annually, shall be collected in the same manner as general taxes, and shall be subject to the same penalties.",https://nebraskalegislature.gov/laws/statutes.php?statute=16-672.11
16-693,Bonds; tax authorized; how used.,"waterworks tax, power tax, sewerage tax, heat tax, light tax, or drainage tax, as the case may be","When any bonds shall have been issued by a city of the first class for the purpose of constructing or aiding in the construction of a system of waterworks, power plant, sewerage, heating, lighting, or drainage, there shall thereafter be levied annually upon all taxable property of such city a tax not exceeding seven cents on each one hundred dollars for every twenty thousand dollars of bonds so issued, which shall be known as the waterworks tax, power tax, sewerage tax, heat tax, light tax, or drainage tax, as the case may be, and shall be payable only in money.",https://nebraskalegislature.gov/laws/statutes.php?statute=16-693
17-925,Sewers; bonds; term; rate of interest; partial payments; final payment; contractor; interest; special assessments; tax authorized.,sewer tax,Such tax shall be known as the sewer tax and shall be payable annually in money.,https://nebraskalegislature.gov/laws/statutes.php?statute=17-925
18-2101,"Act, how cited.",Community Development Law,Sections 18-2101 to 18-2158 shall be known and may be cited as the Community Development Law.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-2101
18-2401,"Act, how cited.",Municipal Cooperative Financing Act,Sections 18-2401 to 18-2485 shall be known and may be cited as the Municipal Cooperative Financing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-2401
18-2501,"Act, how cited; initiative and referendum; powers; use; provisions governing.",Municipal Initiative and Referendum Act,(1) Sections 18-2501 to 18-2538 shall be known and may be cited as the Municipal Initiative and Referendum Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-2501
18-2701,"Act, how cited.",Local Option Municipal Economic Development Act,Sections 18-2701 to 18-2739 shall be known and may be cited as the Local Option Municipal Economic Development Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-2701
18-2801,"Act, how cited.",Municipal Proprietary Function Act,Sections 18-2801 to 18-2808 shall be known and may be cited as the Municipal Proprietary Function Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-2801
18-3101,"Act, how cited.",Municipal Custodianship for Dissolved Homeowners Associations Act,Sections 18-3101 to 18-3105 shall be known and may be cited as the Municipal Custodianship for Dissolved Homeowners Associations Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-3101
18-3401,"Act, how cited.",Nebraska Municipal Land Bank Act,Sections 18-3401 to 18-3418 shall be known and may be cited as the Nebraska Municipal Land Bank Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-3401
18-801,"Act, how cited.",Regional Metropolitan Transit Authority Act,Sections 18-801 to 18-825 shall be known and may be cited as the Regional Metropolitan Transit Authority Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=18-801
18-804,Regional metropolitan transit authority; conversion from transit authority; vote; powers and authority; municipality; request to join; vote; decision to leave; vote; operating jurisdiction of authority.,Regional Metropolitan Transit Authority of,"As of the effective date of such conversion, to be specified at the time of such vote, such transit authority shall remain a body corporate and politic and a governmental subdivision of the State of Nebraska, but thereafter shall be known as the Regional Metropolitan Transit Authority of.",https://nebraskalegislature.gov/laws/statutes.php?statute=18-804
19-1825,"Act, how cited.",Civil Service Act,Sections 19-1825 to 19-1848 shall be known and may be cited as the Civil Service Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-1825
19-2415,"Combined improvements; act, how cited.",Combined Improvement Act,Sections 19-2408 to 19-2415 shall be known and may be cited as the Combined Improvement Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-2415
19-2901,"Act, how cited.",Nebraska Municipal Auditing Law,Sections 19-2901 to 19-2909 shall be known and may be cited as the Nebraska Municipal Auditing Law.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-2901
19-3301,"Act, how cited.",Offstreet Parking District Act,Sections 19-3301 to 19-3326 shall be known and may be cited as the Offstreet Parking District Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-3301
19-401,"Act, how cited; commission plan; population requirement.",Municipal Commission Plan of Government Act,Sections 19-401 to 19-433 shall be known and may be cited as the Municipal Commission Plan of Government Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-401
19-4015,"Act, how cited.",Business Improvement District Act,Sections 19-4015 to 19-4038 shall be known and may be cited as the Business Improvement District Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-4015
19-4624,"Act, how cited.",Municipal Natural Gas System Condemnation Act,Sections 19-4624 to 19-4645 shall be known and may be cited as the Municipal Natural Gas System Condemnation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-4624
19-5301,"Act, how cited.",Riverfront Development District Act,Sections 19-5301 to 19-5317 shall be known and may be cited as the Riverfront Development District Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-5301
19-5401,"Act, how cited.",Vacant Property Registration Act,Sections 19-5401 to 19-5408 shall be known and may be cited as the Vacant Property Registration Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-5401
19-5501,"Act, how cited.",Municipal Density and Missing Middle Housing Act,Sections 19-5501 to 19-5506 shall be known and may be cited as the Municipal Density and Missing Middle Housing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-5501
19-5701,"Act, how cited.",Municipality Infrastructure Aid Act,Sections 19-5701 to 19-5708 shall be known and may be cited as the Municipality Infrastructure Aid Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-5701
19-5801,"Act, how cited.",Poverty Elimination Action Plan Act,Sections 19-5801 to 19-5805 shall be known and may be cited as the Poverty Elimination Action Plan Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-5801
19-601,"Act, how cited.",City Manager Plan of Government Act,Sections 19-601 to 19-662 shall be known and may be cited as the City Manager Plan of Government Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=19-601
20-147,"Act, how cited.",Free Flow of Information Act,Sections 20-144 to 20-147 shall be known and may be cited as the Free Flow of Information Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=20-147
20-301,"Act, how cited.",Nebraska Fair Housing Act,Sections 20-301 to 20-344 shall be known and may be cited as the Nebraska Fair Housing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=20-301
20-401,"Act, how cited.",Rights of the Terminally Ill Act,Sections 20-401 to 20-416 shall be known and may be cited as the Rights of the Terminally Ill Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=20-401
20-701,"Act, how cited.",First Freedom Act,Sections 20-701 to 20-705 shall be known and may be cited as the First Freedom Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=20-701
20-801,"Act, how cited.",Personal Privacy Protection Act,Sections 20-801 to 20-804 shall be known and may be cited as the Personal Privacy Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=20-801
21-101,"Act, how cited.",Nebraska Uniform Limited Liability Company Act,(RULLCA 101) Sections 21-101 to 21-197 and 21-501 to 21-542 shall be known and may be cited as the Nebraska Uniform Limited Liability Company Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-101
21-1401,"Terms, defined; act, how cited.",Nonstock Cooperative Marketing Act,(3) Sections 21-1401 to 21-1414 shall be known and may be cited as the Nonstock Cooperative Marketing Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-1401
21-1701,"Act, how cited.",Credit Union Act,"Sections 21-1701 to 21-17,115 shall be known and may be cited as the Credit Union Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=21-1701
21-1901,"Act, how cited.",Nebraska Nonprofit Corporation Act,"Sections 21-1901 to 21-19,177 shall be known and may be cited as the Nebraska Nonprofit Corporation Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=21-1901
21-201,Short title.,Nebraska Model Business Corporation Act,"01) Sections 21-201 to 21-2,232 shall be known and may be cited as the Nebraska Model Business Corporation Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=21-201
21-2101,"Act, how cited.",Nebraska Business Development Corporation Act,Sections 21-2101 to 21-2117 shall be known and may be cited as the Nebraska Business Development Corporation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-2101
21-2201,"Act, how cited.",Nebraska Professional Corporation Act,Sections 21-2201 to 21-2223 shall be known and may be cited as the Nebraska Professional Corporation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-2201
21-2318,"Act, how cited.",Nebraska Industrial Development Corporation Act,Sections 21-2301 to 21-2318 shall be known and may be cited as the Nebraska Industrial Development Corporation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-2318
21-2431,"Act, how cited.",Shareholders Protection Act,Sections 21-2431 to 21-2453 shall be known and may be cited as the Shareholders Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-2431
21-2501,"Act, how cited.",Name Protection Act,Sections 21-2501 to 21-2508 shall be known and may be cited as the Name Protection Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-2501
21-2901,"Act, how cited.",Nebraska Limited Cooperative Association Act,"Sections 21-2901 to 21-29,134 shall be known and may be cited as the Nebraska Limited Cooperative Association Act.",https://nebraskalegislature.gov/laws/statutes.php?statute=21-2901
21-401,"Act, how cited.",Nebraska Benefit Corporation Act,Sections 21-401 to 21-414 shall be known and may be cited as the Nebraska Benefit Corporation Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-401
21-501,Short title.,Nebraska Uniform Protected Series Act,Sections 21-501 to 21-542 shall be known and may be cited as the Nebraska Uniform Protected Series Act.,https://nebraskalegislature.gov/laws/statutes.php?statute=21-501
